DMF,Kikuyu,Paspalum,Lucerne,Rye
Jan,1.538461538,1.538461538,1.020408163,1.538461538
Feb,1.538461538,1.538461538,1.020408163,1.538461538
Mar,1.538461538,1.538461538,1.020408163,0.934579439
Apr,1.538461538,1.538461538,1.020408163,0.934579439
May,1.538461538,1.538461538,1.020408163,0.934579439
Jun,1.538461538,1.538461538,1.020408163,0.934579439
Jul,1.538461538,1.538461538,1.020408163,0.934579439
Aug,1.538461538,1.538461538,1.020408163,0.934579439
Sep,1.538461538,1.538461538,1.020408163,0.934579439
Oct,1.538461538,1.538461538,1.020408163,0.980392157
Nov,1.538461538,1.538461538,1.020408163,0.980392157
Dec,1.538461538,1.538461538,1.020408163,1.234567901
