,"Kikuyu","Paspalum","Lucerne","Rye"
"Jan", 1.620787462280E+03, 1.338037162312E+02, 4.519741238039E+03, 0.000000000000E+00
"Feb", 2.764872729771E+03, 1.937846924728E+02, 4.025394540118E+03, 0.000000000000E+00
"Mar", 3.050894046644E+03, 1.937846924728E+02, 3.248564015191E+03, 0.000000000000E+00
"Apr", 2.033929364430E+03, 9.458538561174E+01, 2.146877088019E+03, 0.000000000000E+00
"May", 6.356029263842E+02, 6.920881874030E+00, 1.412419137011E+03, 0.000000000000E+00
"Jun", 2.860213168729E+02, 6.920881874030E+00, 9.180724390900E+02, 0.000000000000E+00
"Jul", 9.534043895764E+01, 6.920881874030E+00, 7.768305255867E+02, 0.000000000000E+00
"Aug", 1.271205852768E+02, 6.920881874030E+00, 9.180724390900E+02, 0.000000000000E+00
"Sep", 6.673830727034E+02, 5.998097624159E+01, 2.542354446356E+03, 0.000000000000E+00
"Oct", 7.945036579803E+02, 8.997146436239E+01, 5.296571763626E+03, 0.000000000000E+00
"Nov", 7.945036579803E+02, 8.997146436239E+01, 6.355886116219E+03, 0.000000000000E+00
"Dec", 9.216242432571E+02, 8.997146436239E+01, 4.943466979208E+03, 0.000000000000E+00
