LCCAdv,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,1.65,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Feb,0.75,1.65,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Mar,0.75,0.75,1.65,,,,0.75,0.75,0.75,0.75,0.75,0.75
Apr,0.75,0.75,0.75,1.65,,,,0.75,0.75,0.75,0.75,0.75
May,0.75,0.75,0.75,0.75,1.65,,,,0.75,0.75,0.75,0.75
Jun,0.75,0.75,0.75,0.75,0.75,1.65,,,,0.75,0.75,0.75
Jul,0.75,0.75,0.75,0.75,0.75,0.75,1.65,,,,0.75,0.75
Aug,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.65,,,,0.75
Sep,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.65,,,
Oct,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.65,,
Nov,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.65,
Dec,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.65
