PRODRESTAdv,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,4.804579969,,,,2.595313179,2.953737971,3.347610677,3.772918717,4.219287678,4.663805685,5.056038713,5.270366314
Feb,5.270366314,4.804579969,,,,2.595313179,2.953737971,3.347610677,3.772918717,4.219287678,4.663805685,5.056038713
Mar,5.056038713,5.270366314,4.804579969,,,,2.595313179,2.953737971,3.347610677,3.772918717,4.219287678,4.663805685
Apr,4.663805685,5.056038713,5.270366314,4.804579969,,,,2.595313179,2.953737971,3.347610677,3.772918717,4.219287678
May,4.219287678,4.663805685,5.056038713,5.270366314,4.804579969,,,,2.595313179,2.953737971,3.347610677,3.772918717
Jun,3.772918717,4.219287678,4.663805685,5.056038713,5.270366314,4.804579969,,,,2.595313179,2.953737971,3.347610677
Jul,3.347610677,3.772918717,4.219287678,4.663805685,5.056038713,5.270366314,4.804579969,,,,2.595313179,2.953737971
Aug,2.953737971,3.347610677,3.772918717,4.219287678,4.663805685,5.056038713,5.270366314,4.804579969,,,,2.595313179
Sep,2.595313179,2.953737971,3.347610677,3.772918717,4.219287678,4.663805685,5.056038713,5.270366314,4.804579969,,,
Oct,,2.595313179,2.953737971,3.347610677,3.772918717,4.219287678,4.663805685,5.056038713,5.270366314,4.804579969,,
Nov,,,2.595313179,2.953737971,3.347610677,3.772918717,4.219287678,4.663805685,5.056038713,5.270366314,4.804579969,
Dec,,,,2.595313179,2.953737971,3.347610677,3.772918717,4.219287678,4.663805685,5.056038713,5.270366314,4.804579969
