,"Barley","Maize","Sorghum"
"Jan", 6.331439572413E+01, 0.000000000000E+00, 0.000000000000E+00
"Feb", 7.562869607485E+01, 0.000000000000E+00, 0.000000000000E+00
"Mar", 9.497973947372E+01, 0.000000000000E+00, 0.000000000000E+00
"Apr", 1.224230374075E+02, 0.000000000000E+00, 0.000000000000E+00
"May", 1.407185693525E+02, 0.000000000000E+00, 0.000000000000E+00
"Jun", 1.530328697032E+02, 0.000000000000E+00, 0.000000000000E+00
"Jul", 1.565512412273E+02, 0.000000000000E+00, 0.000000000000E+00
"Aug", 1.530328697032E+02, 0.000000000000E+00, 0.000000000000E+00
"Sep", 1.125715971270E+02, 0.000000000000E+00, 0.000000000000E+00
"Oct", 4.396335230884E+01, 0.000000000000E+00, 0.000000000000E+00
"Nov", 1.694688815939E+01, 0.000000000000E+00, 0.000000000000E+00
"Dec", 5.275928113546E+01, 0.000000000000E+00, 0.000000000000E+00
